Trial,Bird,Brain Region,Stimuli,Count
Spike 10,obla1305_6,OV,flatrip,212
Spike 1,obla1305_4,OV,conspecific,491
Spike 2,obla1305_4,OV,conspecific,404
Spike 3,obla1305_4,OV,conspecific,494
Spike 4,obla1305_4,OV,conspecific,547
Spike 5,obla1305_4,OV,conspecific,402
Spike 6,obla1305_4,OV,conspecific,760
Spike 7,obla1305_4,OV,conspecific,700
Spike 8,obla1305_4,OV,conspecific,621
Spike 9,obla1305_4,OV,conspecific,584
Spike 10,obla1305_4,OV,conspecific,478
Spike 11,obla1305_4,OV,conspecific,698
Spike 12,obla1305_4,OV,conspecific,484
Spike 13,obla1305_4,OV,conspecific,470
Spike 14,obla1305_4,OV,conspecific,593
Spike 15,obla1305_4,OV,conspecific,607
Spike 16,obla1305_4,OV,conspecific,531
Spike 17,obla1305_4,OV,conspecific,390
Spike 18,obla1305_4,OV,conspecific,573
Spike 19,obla1305_4,OV,conspecific,567
Spike 20,obla1305_4,OV,conspecific,602
Spike 1,obla1305_4,OV,flatrip,638
Spike 2,obla1305_4,OV,flatrip,645
Spike 3,obla1305_4,OV,flatrip,449
Spike 4,obla1305_4,OV,flatrip,516
Spike 5,obla1305_4,OV,flatrip,562
Spike 6,obla1305_4,OV,flatrip,391
Spike 7,obla1305_4,OV,flatrip,367
Spike 8,obla1305_4,OV,flatrip,551
Spike 9,obla1305_4,OV,flatrip,502
Spike 10,obla1305_4,OV,flatrip,364
Spike 1,pupi0414_10,OV,conspecific,1411
Spike 2,pupi0414_10,OV,conspecific,1330
Spike 3,pupi0414_10,OV,conspecific,1290
Spike 4,pupi0414_10,OV,conspecific,1295
Spike 5,pupi0414_10,OV,conspecific,1188
Spike 6,pupi0414_10,OV,conspecific,1996
Spike 7,pupi0414_10,OV,conspecific,1995
Spike 8,pupi0414_10,OV,conspecific,1959
Spike 9,pupi0414_10,OV,conspecific,1721
Spike 10,pupi0414_10,OV,conspecific,1606
Spike 11,pupi0414_10,OV,conspecific,1823
Spike 12,pupi0414_10,OV,conspecific,1239
Spike 13,pupi0414_10,OV,conspecific,1935
Spike 14,pupi0414_10,OV,conspecific,1226
Spike 15,pupi0414_10,OV,conspecific,1936
Spike 16,pupi0414_10,OV,conspecific,1581
Spike 17,pupi0414_10,OV,conspecific,1490
Spike 18,pupi0414_10,OV,conspecific,1913
Spike 19,pupi0414_10,OV,conspecific,1721
Spike 20,pupi0414_10,OV,conspecific,1569
Spike 1,pupi0414_10,OV,flatrip,1959
Spike 2,pupi0414_10,OV,flatrip,2034
Spike 3,pupi0414_10,OV,flatrip,1911
Spike 4,pupi0414_10,OV,flatrip,1937
Spike 5,pupi0414_10,OV,flatrip,1998
Spike 6,pupi0414_10,OV,flatrip,1931
Spike 7,pupi0414_10,OV,flatrip,1890
Spike 8,pupi0414_10,OV,flatrip,1867
Spike 9,pupi0414_10,OV,flatrip,1911
Spike 10,pupi0414_10,OV,flatrip,1857
Spike 1,pupi0414_2,OV,conspecific,459
Spike 2,pupi0414_2,OV,conspecific,390
Spike 3,pupi0414_2,OV,conspecific,455
Spike 4,pupi0414_2,OV,conspecific,475
Spike 5,pupi0414_2,OV,conspecific,414
Spike 6,pupi0414_2,OV,conspecific,618
Spike 7,pupi0414_2,OV,conspecific,679
Spike 8,pupi0414_2,OV,conspecific,576
Spike 9,pupi0414_2,OV,conspecific,557
Spike 10,pupi0414_2,OV,conspecific,514
Spike 11,pupi0414_2,OV,conspecific,614
Spike 12,pupi0414_2,OV,conspecific,441
Spike 13,pupi0414_2,OV,conspecific,555
Spike 14,pupi0414_2,OV,conspecific,431
Spike 15,pupi0414_2,OV,conspecific,568
Spike 16,pupi0414_2,OV,conspecific,460
Spike 17,pupi0414_2,OV,conspecific,421
Spike 18,pupi0414_2,OV,conspecific,578
Spike 19,pupi0414_2,OV,conspecific,574
Spike 20,pupi0414_2,OV,conspecific,511
Spike 1,pupi0414_2,OV,flatrip,
Spike 2,pupi0414_2,OV,flatrip,
Spike 3,pupi0414_2,OV,flatrip,
Spike 4,pupi0414_2,OV,flatrip,
Spike 5,pupi0414_2,OV,flatrip,
Spike 6,pupi0414_2,OV,flatrip,
Spike 7,pupi0414_2,OV,flatrip,
Spike 8,pupi0414_2,OV,flatrip,
Spike 9,pupi0414_2,OV,flatrip,
Spike 10,pupi0414_2,OV,flatrip,
Spike 1,pupi0414_9,OV,conspecific,106
Spike 2,pupi0414_9,OV,conspecific,124
Spike 3,pupi0414_9,OV,conspecific,104
Spike 4,pupi0414_9,OV,conspecific,105
Spike 5,pupi0414_9,OV,conspecific,118
Spike 6,pupi0414_9,OV,conspecific,178
Spike 7,pupi0414_9,OV,conspecific,175
Spike 8,pupi0414_9,OV,conspecific,173
Spike 9,pupi0414_9,OV,conspecific,128
Spike 10,pupi0414_9,OV,conspecific,129
Spike 11,pupi0414_9,OV,conspecific,135
Spike 12,pupi0414_9,OV,conspecific,90
Spike 13,pupi0414_9,OV,conspecific,179
Spike 14,pupi0414_9,OV,conspecific,90
Spike 15,pupi0414_9,OV,conspecific,200
Spike 16,pupi0414_9,OV,conspecific,116
Spike 17,pupi0414_9,OV,conspecific,142
Spike 18,pupi0414_9,OV,conspecific,195
Spike 19,pupi0414_9,OV,conspecific,149
Spike 20,pupi0414_9,OV,conspecific,94
Spike 1,pupi0414_9,OV,flatrip,218
Spike 2,pupi0414_9,OV,flatrip,206
Spike 3,pupi0414_9,OV,flatrip,203
Spike 4,pupi0414_9,OV,flatrip,202
Spike 5,pupi0414_9,OV,flatrip,188
Spike 6,pupi0414_9,OV,flatrip,182
Spike 7,pupi0414_9,OV,flatrip,209
Spike 8,pupi0414_9,OV,flatrip,204
Spike 9,pupi0414_9,OV,flatrip,202
Spike 10,pupi0414_9,OV,flatrip,200
Spike 1,pupi0414_7,OV,conspecific,194
Spike 2,pupi0414_7,OV,conspecific,191
Spike 3,pupi0414_7,OV,conspecific,208
Spike 4,pupi0414_7,OV,conspecific,212
Spike 5,pupi0414_7,OV,conspecific,213
Spike 6,pupi0414_7,OV,conspecific,319
Spike 7,pupi0414_7,OV,conspecific,347
Spike 8,pupi0414_7,OV,conspecific,334
Spike 9,pupi0414_7,OV,conspecific,285
Spike 10,pupi0414_7,OV,conspecific,241
Spike 11,pupi0414_7,OV,conspecific,305
Spike 12,pupi0414_7,OV,conspecific,188
