Trial,Bird,Brain Region,Stimuli,Count
Spike 19,gr0869_5,OV,conspecific,1515
Spike 20,gr0869_5,OV,conspecific,1357
Spike 1,gr0869_5,OV,flatrip,1241
Spike 2,gr0869_5,OV,flatrip,1199
Spike 3,gr0869_5,OV,flatrip,1226
Spike 4,gr0869_5,OV,flatrip,1233
Spike 5,gr0869_5,OV,flatrip,1209
Spike 6,gr0869_5,OV,flatrip,1149
Spike 7,gr0869_5,OV,flatrip,1131
Spike 8,gr0869_5,OV,flatrip,1235
Spike 9,gr0869_5,OV,flatrip,1305
Spike 10,gr0869_5,OV,flatrip,1129
Spike 1,gr0869_11,OV,conspecific,373
Spike 2,gr0869_11,OV,conspecific,311
Spike 3,gr0869_11,OV,conspecific,350
Spike 4,gr0869_11,OV,conspecific,373
Spike 5,gr0869_11,OV,conspecific,349
Spike 6,gr0869_11,OV,conspecific,507
Spike 7,gr0869_11,OV,conspecific,431
Spike 8,gr0869_11,OV,conspecific,426
Spike 9,gr0869_11,OV,conspecific,420
Spike 10,gr0869_11,OV,conspecific,348
Spike 11,gr0869_11,OV,conspecific,408
Spike 12,gr0869_11,OV,conspecific,334
Spike 13,gr0869_11,OV,conspecific,414
Spike 14,gr0869_11,OV,conspecific,437
Spike 15,gr0869_11,OV,conspecific,441
Spike 16,gr0869_11,OV,conspecific,392
Spike 17,gr0869_11,OV,conspecific,326
Spike 18,gr0869_11,OV,conspecific,484
Spike 19,gr0869_11,OV,conspecific,418
Spike 20,gr0869_11,OV,conspecific,486
Spike 1,gr0869_11,OV,flatrip,504
Spike 2,gr0869_11,OV,flatrip,468
Spike 3,gr0869_11,OV,flatrip,418
Spike 4,gr0869_11,OV,flatrip,462
Spike 5,gr0869_11,OV,flatrip,397
Spike 6,gr0869_11,OV,flatrip,351
Spike 7,gr0869_11,OV,flatrip,364
Spike 8,gr0869_11,OV,flatrip,391
Spike 9,gr0869_11,OV,flatrip,369
Spike 10,gr0869_11,OV,flatrip,357
Spike 1,blahp9904_9,OV,conspecific,1892
Spike 2,blahp9904_9,OV,conspecific,1802
Spike 3,blahp9904_9,OV,conspecific,1863
Spike 4,blahp9904_9,OV,conspecific,1857
Spike 5,blahp9904_9,OV,conspecific,1729
Spike 6,blahp9904_9,OV,conspecific,2003
Spike 7,blahp9904_9,OV,conspecific,2014
Spike 8,blahp9904_9,OV,conspecific,2059
Spike 9,blahp9904_9,OV,conspecific,2231
Spike 10,blahp9904_9,OV,conspecific,1955
Spike 11,blahp9904_9,OV,conspecific,2171
Spike 12,blahp9904_9,OV,conspecific,1794
Spike 13,blahp9904_9,OV,conspecific,1873
Spike 14,blahp9904_9,OV,conspecific,1750
Spike 15,blahp9904_9,OV,conspecific,2000
Spike 16,blahp9904_9,OV,conspecific,1753
Spike 17,blahp9904_9,OV,conspecific,1882
Spike 18,blahp9904_9,OV,conspecific,2025
Spike 19,blahp9904_9,OV,conspecific,1901
Spike 20,blahp9904_9,OV,conspecific,1999
Spike 1,blahp9904_9,OV,flatrip,2000
Spike 2,blahp9904_9,OV,flatrip,1974
Spike 3,blahp9904_9,OV,flatrip,1877
Spike 4,blahp9904_9,OV,flatrip,1935
Spike 5,blahp9904_9,OV,flatrip,1935
Spike 6,blahp9904_9,OV,flatrip,1838
Spike 7,blahp9904_9,OV,flatrip,1917
Spike 8,blahp9904_9,OV,flatrip,1971
Spike 9,blahp9904_9,OV,flatrip,1920
Spike 10,blahp9904_9,OV,flatrip,1971
Spike 1,blahp9904_7,OV,conspecific,911
Spike 2,blahp9904_7,OV,conspecific,754
Spike 3,blahp9904_7,OV,conspecific,785
Spike 4,blahp9904_7,OV,conspecific,791
Spike 5,blahp9904_7,OV,conspecific,717
Spike 6,blahp9904_7,OV,conspecific,1046
Spike 7,blahp9904_7,OV,conspecific,1088
Spike 8,blahp9904_7,OV,conspecific,1031
Spike 9,blahp9904_7,OV,conspecific,1096
Spike 10,blahp9904_7,OV,conspecific,841
Spike 11,blahp9904_7,OV,conspecific,1132
Spike 12,blahp9904_7,OV,conspecific,837
Spike 13,blahp9904_7,OV,conspecific,937
Spike 14,blahp9904_7,OV,conspecific,898
Spike 15,blahp9904_7,OV,conspecific,939
Spike 16,blahp9904_7,OV,conspecific,851
Spike 17,blahp9904_7,OV,conspecific,867
Spike 18,blahp9904_7,OV,conspecific,991
Spike 19,blahp9904_7,OV,conspecific,915
Spike 20,blahp9904_7,OV,conspecific,1000
Spike 1,blahp9904_7,OV,flatrip,984
Spike 2,blahp9904_7,OV,flatrip,982
Spike 3,blahp9904_7,OV,flatrip,851
Spike 4,blahp9904_7,OV,flatrip,861
Spike 5,blahp9904_7,OV,flatrip,926
Spike 6,blahp9904_7,OV,flatrip,754
Spike 7,blahp9904_7,OV,flatrip,781
Spike 8,blahp9904_7,OV,flatrip,927
Spike 9,blahp9904_7,OV,flatrip,881
Spike 10,blahp9904_7,OV,flatrip,791
Spike 1,blahp9904_8,OV,conspecific,851
Spike 2,blahp9904_8,OV,conspecific,714
Spike 3,blahp9904_8,OV,conspecific,779
Spike 4,blahp9904_8,OV,conspecific,910
Spike 5,blahp9904_8,OV,conspecific,688
Spike 6,blahp9904_8,OV,conspecific,998
Spike 7,blahp9904_8,OV,conspecific,921
Spike 8,blahp9904_8,OV,conspecific,960
Spike 9,blahp9904_8,OV,conspecific,1033
Spike 10,blahp9904_8,OV,conspecific,825
Spike 11,blahp9904_8,OV,conspecific,1105
Spike 12,blahp9904_8,OV,conspecific,785
Spike 13,blahp9904_8,OV,conspecific,915
Spike 14,blahp9904_8,OV,conspecific,811
Spike 15,blahp9904_8,OV,conspecific,902
Spike 16,blahp9904_8,OV,conspecific,802
Spike 17,blahp9904_8,OV,conspecific,765
Spike 18,blahp9904_8,OV,conspecific,978
Spike 19,blahp9904_8,OV,conspecific,912
Spike 20,blahp9904_8,OV,conspecific,1032
Spike 1,blahp9904_8,OV,flatrip,977
Spike 2,blahp9904_8,OV,flatrip,944
Spike 3,blahp9904_8,OV,flatrip,867
Spike 4,blahp9904_8,OV,flatrip,877
Spike 5,blahp9904_8,OV,flatrip,929
Spike 6,blahp9904_8,OV,flatrip,775
Spike 7,blahp9904_8,OV,flatrip,763
Spike 8,blahp9904_8,OV,flatrip,879
Spike 9,blahp9904_8,OV,flatrip,907
Spike 10,blahp9904_8,OV,flatrip,839
Spike 1,blahp9904_6,OV,conspecific,752
Spike 2,blahp9904_6,OV,conspecific,718
Spike 3,blahp9904_6,OV,conspecific,717
Spike 4,blahp9904_6,OV,conspecific,784
Spike 5,blahp9904_6,OV,conspecific,626
Spike 6,blahp9904_6,OV,conspecific,900
Spike 7,blahp9904_6,OV,conspecific,937
Spike 8,blahp9904_6,OV,conspecific,876
Spike 9,blahp9904_6,OV,conspecific,905
Spike 10,blahp9904_6,OV,conspecific,778
Spike 11,blahp9904_6,OV,conspecific,1014
Spike 12,blahp9904_6,OV,conspecific,744
Spike 13,blahp9904_6,OV,conspecific,791
Spike 14,blahp9904_6,OV,conspecific,770
Spike 15,blahp9904_6,OV,conspecific,736
Spike 16,blahp9904_6,OV,conspecific,699
Spike 17,blahp9904_6,OV,conspecific,693
Spike 18,blahp9904_6,OV,conspecific,944
Spike 19,blahp9904_6,OV,conspecific,791
Spike 20,blahp9904_6,OV,conspecific,849
Spike 1,blahp9904_6,OV,flatrip,868
Spike 2,blahp9904_6,OV,flatrip,906
Spike 3,blahp9904_6,OV,flatrip,806
Spike 4,blahp9904_6,OV,flatrip,854
Spike 5,blahp9904_6,OV,flatrip,841
Spike 6,blahp9904_6,OV,flatrip,764
Spike 7,blahp9904_6,OV,flatrip,755
Spike 8,blahp9904_6,OV,flatrip,841
Spike 9,blahp9904_6,OV,flatrip,785
Spike 10,blahp9904_6,OV,flatrip,765
Spike 1,glb5656_2,OV,conspecific,458
Spike 2,glb5656_2,OV,conspecific,488
Spike 3,glb5656_2,OV,conspecific,499
Spike 4,glb5656_2,OV,conspecific,531
Spike 5,glb5656_2,OV,conspecific,452
Spike 6,glb5656_2,OV,conspecific,724
Spike 7,glb5656_2,OV,conspecific,718
Spike 8,glb5656_2,OV,conspecific,729
Spike 9,glb5656_2,OV,conspecific,679
Spike 10,glb5656_2,OV,conspecific,527
Spike 11,glb5656_2,OV,conspecific,725
Spike 12,glb5656_2,OV,conspecific,409
Spike 13,glb5656_2,OV,conspecific,595
Spike 14,glb5656_2,OV,conspecific,531
Spike 15,glb5656_2,OV,conspecific,621
Spike 16,glb5656_2,OV,conspecific,490
Spike 17,glb5656_2,OV,conspecific,514
Spike 18,glb5656_2,OV,conspecific,642
Spike 19,glb5656_2,OV,conspecific,499
Spike 20,glb5656_2,OV,conspecific,549
Spike 1,glb5656_2,OV,flatrip,397
Spike 2,glb5656_2,OV,flatrip,433
Spike 3,glb5656_2,OV,flatrip,412
Spike 4,glb5656_2,OV,flatrip,373
Spike 5,glb5656_2,OV,flatrip,428
Spike 6,glb5656_2,OV,flatrip,330
Spike 7,glb5656_2,OV,flatrip,373
Spike 8,glb5656_2,OV,flatrip,396
Spike 9,glb5656_2,OV,flatrip,435
Spike 10,glb5656_2,OV,flatrip,375
Spike 1,glb5656_3,OV,conspecific,332
Spike 2,glb5656_3,OV,conspecific,265
Spike 3,glb5656_3,OV,conspecific,324
Spike 4,glb5656_3,OV,conspecific,292
Spike 5,glb5656_3,OV,conspecific,274
Spike 6,glb5656_3,OV,conspecific,497
Spike 7,glb5656_3,OV,conspecific,441
Spike 8,glb5656_3,OV,conspecific,445
Spike 9,glb5656_3,OV,conspecific,355
Spike 10,glb5656_3,OV,conspecific,315
Spike 11,glb5656_3,OV,conspecific,494
Spike 12,glb5656_3,OV,conspecific,279
Spike 13,glb5656_3,OV,conspecific,396
Spike 14,glb5656_3,OV,conspecific,275
Spike 15,glb5656_3,OV,conspecific,403
Spike 16,glb5656_3,OV,conspecific,328
Spike 17,glb5656_3,OV,conspecific,301
Spike 18,glb5656_3,OV,conspecific,437
Spike 19,glb5656_3,OV,conspecific,367
Spike 20,glb5656_3,OV,conspecific,375
Spike 1,glb5656_3,OV,flatrip,357
Spike 2,glb5656_3,OV,flatrip,371
Spike 3,glb5656_3,OV,flatrip,299
Spike 4,glb5656_3,OV,flatrip,305
Spike 5,glb5656_3,OV,flatrip,345
Spike 6,glb5656_3,OV,flatrip,318
Spike 7,glb5656_3,OV,flatrip,306
Spike 8,glb5656_3,OV,flatrip,345
Spike 9,glb5656_3,OV,flatrip,298
Spike 10,glb5656_3,OV,flatrip,297
Spike 1,glb5656_5,OV,conspecific,735
Spike 2,glb5656_5,OV,conspecific,713
Spike 3,glb5656_5,OV,conspecific,750
Spike 4,glb5656_5,OV,conspecific,801
Spike 5,glb5656_5,OV,conspecific,736
Spike 6,glb5656_5,OV,conspecific,779
Spike 7,glb5656_5,OV,conspecific,866
Spike 8,glb5656_5,OV,conspecific,899
Spike 9,glb5656_5,OV,conspecific,756
Spike 10,glb5656_5,OV,conspecific,769
Spike 11,glb5656_5,OV,conspecific,842
Spike 12,glb5656_5,OV,conspecific,684
Spike 13,glb5656_5,OV,conspecific,808
Spike 14,glb5656_5,OV,conspecific,682
Spike 15,glb5656_5,OV,conspecific,736
Spike 16,glb5656_5,OV,conspecific,758
Spike 17,glb5656_5,OV,conspecific,744
Spike 18,glb5656_5,OV,conspecific,800
Spike 19,glb5656_5,OV,conspecific,779
Spike 20,glb5656_5,OV,conspecific,689
Spike 1,glb5656_5,OV,flatrip,805
Spike 2,glb5656_5,OV,flatrip,836
Spike 3,glb5656_5,OV,flatrip,825
Spike 4,glb5656_5,OV,flatrip,844
Spike 5,glb5656_5,OV,flatrip,849
Spike 6,glb5656_5,OV,flatrip,806
Spike 7,glb5656_5,OV,flatrip,765
Spike 8,glb5656_5,OV,flatrip,803
Spike 9,glb5656_5,OV,flatrip,828
Spike 10,glb5656_5,OV,flatrip,809
Spike 1,glb5656_4,OV,conspecific,64
Spike 2,glb5656_4,OV,conspecific,63
Spike 3,glb5656_4,OV,conspecific,49
Spike 4,glb5656_4,OV,conspecific,73
Spike 5,glb5656_4,OV,conspecific,55
Spike 6,glb5656_4,OV,conspecific,104
Spike 7,glb5656_4,OV,conspecific,95
Spike 8,glb5656_4,OV,conspecific,93
Spike 9,glb5656_4,OV,conspecific,76
Spike 10,glb5656_4,OV,conspecific,64
Spike 11,glb5656_4,OV,conspecific,75
Spike 12,glb5656_4,OV,conspecific,49
Spike 13,glb5656_4,OV,conspecific,94
Spike 14,glb5656_4,OV,conspecific,45
Spike 15,glb5656_4,OV,conspecific,97
Spike 16,glb5656_4,OV,conspecific,92
Spike 17,glb5656_4,OV,conspecific,55
Spike 18,glb5656_4,OV,conspecific,90
Spike 19,glb5656_4,OV,conspecific,90
Spike 20,glb5656_4,OV,conspecific,70
Spike 1,glb5656_4,OV,flatrip,73
Spike 2,glb5656_4,OV,flatrip,63
Spike 3,glb5656_4,OV,flatrip,84
Spike 4,glb5656_4,OV,flatrip,63
Spike 5,glb5656_4,OV,flatrip,61
Spike 6,glb5656_4,OV,flatrip,55
Spike 7,glb5656_4,OV,flatrip,58
Spike 8,glb5656_4,OV,flatrip,76
Spike 9,glb5656_4,OV,flatrip,57
Spike 10,glb5656_4,OV,flatrip,54
Spike 1,gr1070_2,OV,conspecific,668
Spike 2,gr1070_2,OV,conspecific,553
Spike 3,gr1070_2,OV,conspecific,555
Spike 4,gr1070_2,OV,conspecific,638
Spike 5,gr1070_2,OV,conspecific,599
Spike 6,gr1070_2,OV,conspecific,773
Spike 7,gr1070_2,OV,conspecific,807
Spike 8,gr1070_2,OV,conspecific,727
Spike 9,gr1070_2,OV,conspecific,709
Spike 10,gr1070_2,OV,conspecific,648
Spike 11,gr1070_2,OV,conspecific,706
Spike 12,gr1070_2,OV,conspecific,637
Spike 13,gr1070_2,OV,conspecific,687
Spike 14,gr1070_2,OV,conspecific,624
Spike 15,gr1070_2,OV,conspecific,694
Spike 16,gr1070_2,OV,conspecific,697
Spike 17,gr1070_2,OV,conspecific,596
Spike 18,gr1070_2,OV,conspecific,797
Spike 19,gr1070_2,OV,conspecific,677
Spike 20,gr1070_2,OV,conspecific,683
Spike 1,gr1070_2,OV,flatrip,774
Spike 2,gr1070_2,OV,flatrip,730
Spike 3,gr1070_2,OV,flatrip,734
Spike 4,gr1070_2,OV,flatrip,738
Spike 5,gr1070_2,OV,flatrip,731
Spike 6,gr1070_2,OV,flatrip,667
Spike 7,gr1070_2,OV,flatrip,679
Spike 8,gr1070_2,OV,flatrip,711
Spike 9,gr1070_2,OV,flatrip,778
Spike 10,gr1070_2,OV,flatrip,639
Spike 1,gr1070_3,OV,conspecific,491
Spike 2,gr1070_3,OV,conspecific,449
Spike 3,gr1070_3,OV,conspecific,445
Spike 4,gr1070_3,OV,conspecific,493
Spike 5,gr1070_3,OV,conspecific,408
Spike 6,gr1070_3,OV,conspecific,575
Spike 7,gr1070_3,OV,conspecific,600
Spike 8,gr1070_3,OV,conspecific,598
Spike 9,gr1070_3,OV,conspecific,511
Spike 10,gr1070_3,OV,conspecific,434
Spike 11,gr1070_3,OV,conspecific,506
Spike 12,gr1070_3,OV,conspecific,450
Spike 13,gr1070_3,OV,conspecific,484
Spike 14,gr1070_3,OV,conspecific,448
Spike 15,gr1070_3,OV,conspecific,535
Spike 16,gr1070_3,OV,conspecific,448
Spike 17,gr1070_3,OV,conspecific,483
Spike 18,gr1070_3,OV,conspecific,516
Spike 19,gr1070_3,OV,conspecific,457
Spike 20,gr1070_3,OV,conspecific,521
Spike 1,gr1070_3,OV,flatrip,546
Spike 2,gr1070_3,OV,flatrip,555
Spike 3,gr1070_3,OV,flatrip,504
Spike 4,gr1070_3,OV,flatrip,555
Spike 5,gr1070_3,OV,flatrip,572
Spike 6,gr1070_3,OV,flatrip,497
Spike 7,gr1070_3,OV,flatrip,498
Spike 8,gr1070_3,OV,flatrip,544
Spike 9,gr1070_3,OV,flatrip,566
Spike 10,gr1070_3,OV,flatrip,456
Spike 1,gr1070_5,OV,conspecific,612
Spike 2,gr1070_5,OV,conspecific,612
Spike 3,gr1070_5,OV,conspecific,548
Spike 4,gr1070_5,OV,conspecific,605
Spike 5,gr1070_5,OV,conspecific,633
Spike 6,gr1070_5,OV,conspecific,587
Spike 7,gr1070_5,OV,conspecific,840
Spike 8,gr1070_5,OV,conspecific,764
Spike 9,gr1070_5,OV,conspecific,795
Spike 10,gr1070_5,OV,conspecific,703
Spike 11,gr1070_5,OV,conspecific,703
Spike 12,gr1070_5,OV,conspecific,784
Spike 13,gr1070_5,OV,conspecific,630
Spike 14,gr1070_5,OV,conspecific,763
Spike 15,gr1070_5,OV,conspecific,595
Spike 16,gr1070_5,OV,conspecific,775
Spike 17,gr1070_5,OV,conspecific,619
Spike 18,gr1070_5,OV,conspecific,622
Spike 19,gr1070_5,OV,conspecific,727
Spike 20,gr1070_5,OV,conspecific,691
Spike 1,gr1070_5,OV,flatrip,685
Spike 2,gr1070_5,OV,flatrip,766
Spike 3,gr1070_5,OV,flatrip,763
Spike 4,gr1070_5,OV,flatrip,683
Spike 5,gr1070_5,OV,flatrip,622
Spike 6,gr1070_5,OV,flatrip,722
Spike 7,gr1070_5,OV,flatrip,695
Spike 8,gr1070_5,OV,flatrip,737
Spike 9,gr1070_5,OV,flatrip,726
Spike 10,gr1070_5,OV,flatrip,725
Spike 1,gr1070_1,OV,conspecific,982
Spike 2,gr1070_1,OV,conspecific,869
Spike 3,gr1070_1,OV,conspecific,869
Spike 4,gr1070_1,OV,conspecific,1006
Spike 5,gr1070_1,OV,conspecific,844
Spike 6,gr1070_1,OV,conspecific,1229
Spike 7,gr1070_1,OV,conspecific,1222
Spike 8,gr1070_1,OV,conspecific,1109
Spike 9,gr1070_1,OV,conspecific,1027
Spike 10,gr1070_1,OV,conspecific,927
Spike 11,gr1070_1,OV,conspecific,1028
Spike 12,gr1070_1,OV,conspecific,932
Spike 13,gr1070_1,OV,conspecific,1012
Spike 14,gr1070_1,OV,conspecific,954
Spike 15,gr1070_1,OV,conspecific,1116
Spike 16,gr1070_1,OV,conspecific,1004
Spike 17,gr1070_1,OV,conspecific,865
Spike 18,gr1070_1,OV,conspecific,1191
Spike 19,gr1070_1,OV,conspecific,1005
Spike 20,gr1070_1,OV,conspecific,1022
Spike 1,gr1070_1,OV,flatrip,1178
Spike 2,gr1070_1,OV,flatrip,1170
Spike 3,gr1070_1,OV,flatrip,1139
Spike 4,gr1070_1,OV,flatrip,1191
Spike 5,gr1070_1,OV,flatrip,1188
Spike 6,gr1070_1,OV,flatrip,1070
Spike 7,gr1070_1,OV,flatrip,1107
Spike 8,gr1070_1,OV,flatrip,1156
Spike 9,gr1070_1,OV,flatrip,1186
Spike 10,gr1070_1,OV,flatrip,1037
Spike 1,gr1070_4,OV,conspecific,575
Spike 2,gr1070_4,OV,conspecific,513
Spike 3,gr1070_4,OV,conspecific,533
Spike 4,gr1070_4,OV,conspecific,589
Spike 5,gr1070_4,OV,conspecific,437
Spike 6,gr1070_4,OV,conspecific,829
Spike 7,gr1070_4,OV,conspecific,802
Spike 8,gr1070_4,OV,conspecific,780
Spike 9,gr1070_4,OV,conspecific,661
Spike 10,gr1070_4,OV,conspecific,653
Spike 11,gr1070_4,OV,conspecific,738
Spike 12,gr1070_4,OV,conspecific,479
Spike 13,gr1070_4,OV,conspecific,766
Spike 14,gr1070_4,OV,conspecific,516
Spike 15,gr1070_4,OV,conspecific,703
Spike 16,gr1070_4,OV,conspecific,616
Spike 17,gr1070_4,OV,conspecific,560
Spike 18,gr1070_4,OV,conspecific,805
Spike 19,gr1070_4,OV,conspecific,666
Spike 20,gr1070_4,OV,conspecific,637
Spike 1,gr1070_4,OV,flatrip,722
Spike 2,gr1070_4,OV,flatrip,708
Spike 3,gr1070_4,OV,flatrip,684
Spike 4,gr1070_4,OV,flatrip,656
Spike 5,gr1070_4,OV,flatrip,684
Spike 6,gr1070_4,OV,flatrip,696
Spike 7,gr1070_4,OV,flatrip,610
Spike 8,gr1070_4,OV,flatrip,698
Spike 9,gr1070_4,OV,flatrip,720
Spike 10,gr1070_4,OV,flatrip,680
Spike 1,blahp4108_5,OV,conspecific,502
Spike 2,blahp4108_5,OV,conspecific,487
Spike 3,blahp4108_5,OV,conspecific,470
Spike 4,blahp4108_5,OV,conspecific,587
Spike 5,blahp4108_5,OV,conspecific,467
Spike 6,blahp4108_5,OV,conspecific,652
Spike 7,blahp4108_5,OV,conspecific,604
Spike 8,blahp4108_5,OV,conspecific,669
Spike 9,blahp4108_5,OV,conspecific,492
Spike 10,blahp4108_5,OV,conspecific,515
Spike 11,blahp4108_5,OV,conspecific,657
Spike 12,blahp4108_5,OV,conspecific,514
Spike 13,blahp4108_5,OV,conspecific,555
Spike 14,blahp4108_5,OV,conspecific,494
Spike 15,blahp4108_5,OV,conspecific,532
Spike 16,blahp4108_5,OV,conspecific,509
Spike 17,blahp4108_5,OV,conspecific,460
Spike 18,blahp4108_5,OV,conspecific,631
Spike 19,blahp4108_5,OV,conspecific,510
Spike 20,blahp4108_5,OV,conspecific,546
Spike 1,blahp4108_5,OV,flatrip,721
Spike 2,blahp4108_5,OV,flatrip,728
Spike 3,blahp4108_5,OV,flatrip,692
Spike 4,blahp4108_5,OV,flatrip,616
Spike 5,blahp4108_5,OV,flatrip,684
Spike 6,blahp4108_5,OV,flatrip,614
Spike 7,blahp4108_5,OV,flatrip,622
Spike 8,blahp4108_5,OV,flatrip,707
Spike 9,blahp4108_5,OV,flatrip,679
Spike 10,blahp4108_5,OV,flatrip,619
Spike 1,blahp4108_4,OV,conspecific,819
Spike 2,blahp4108_4,OV,conspecific,765
Spike 3,blahp4108_4,OV,conspecific,780
Spike 4,blahp4108_4,OV,conspecific,858
Spike 5,blahp4108_4,OV,conspecific,745
Spike 6,blahp4108_4,OV,conspecific,957
Spike 7,blahp4108_4,OV,conspecific,982
Spike 8,blahp4108_4,OV,conspecific,952
Spike 9,blahp4108_4,OV,conspecific,800
Spike 10,blahp4108_4,OV,conspecific,754
Spike 11,blahp4108_4,OV,conspecific,948
Spike 12,blahp4108_4,OV,conspecific,756
Spike 13,blahp4108_4,OV,conspecific,947
Spike 14,blahp4108_4,OV,conspecific,713
Spike 15,blahp4108_4,OV,conspecific,858
Spike 16,blahp4108_4,OV,conspecific,779
Spike 17,blahp4108_4,OV,conspecific,762
Spike 18,blahp4108_4,OV,conspecific,937
Spike 19,blahp4108_4,OV,conspecific,942
Spike 20,blahp4108_4,OV,conspecific,881
Spike 1,blahp4108_4,OV,flatrip,940
Spike 2,blahp4108_4,OV,flatrip,984
Spike 3,blahp4108_4,OV,flatrip,893
Spike 4,blahp4108_4,OV,flatrip,885
Spike 5,blahp4108_4,OV,flatrip,971
Spike 6,blahp4108_4,OV,flatrip,767
Spike 7,blahp4108_4,OV,flatrip,797
Spike 8,blahp4108_4,OV,flatrip,934
Spike 9,blahp4108_4,OV,flatrip,887
Spike 10,blahp4108_4,OV,flatrip,844
Spike 1,glb5202_9,OV,conspecific,693
Spike 2,glb5202_9,OV,conspecific,619
Spike 3,glb5202_9,OV,conspecific,655
Spike 4,glb5202_9,OV,conspecific,703
Spike 5,glb5202_9,OV,conspecific,604
Spike 6,glb5202_9,OV,conspecific,927
Spike 7,glb5202_9,OV,conspecific,986
Spike 8,glb5202_9,OV,conspecific,885
Spike 9,glb5202_9,OV,conspecific,867
Spike 10,glb5202_9,OV,conspecific,731
Spike 11,glb5202_9,OV,conspecific,934
Spike 12,glb5202_9,OV,conspecific,630
Spike 13,glb5202_9,OV,conspecific,790
Spike 14,glb5202_9,OV,conspecific,655
Spike 15,glb5202_9,OV,conspecific,827
Spike 16,glb5202_9,OV,conspecific,712
Spike 17,glb5202_9,OV,conspecific,706
Spike 18,glb5202_9,OV,conspecific,937
Spike 19,glb5202_9,OV,conspecific,834
Spike 20,glb5202_9,OV,conspecific,747
Spike 1,glb5202_9,OV,flatrip,689
Spike 2,glb5202_9,OV,flatrip,613
Spike 3,glb5202_9,OV,flatrip,618
Spike 4,glb5202_9,OV,flatrip,639
Spike 5,glb5202_9,OV,flatrip,665
Spike 6,glb5202_9,OV,flatrip,557
Spike 7,glb5202_9,OV,flatrip,597
Spike 8,glb5202_9,OV,flatrip,613
Spike 9,glb5202_9,OV,flatrip,588
Spike 10,glb5202_9,OV,flatrip,523
Spike 1,glb5202_7,OV,conspecific,334
Spike 2,glb5202_7,OV,conspecific,320
Spike 3,glb5202_7,OV,conspecific,304
Spike 4,glb5202_7,OV,conspecific,355
Spike 5,glb5202_7,OV,conspecific,302
Spike 6,glb5202_7,OV,conspecific,411
Spike 7,glb5202_7,OV,conspecific,498
Spike 8,glb5202_7,OV,conspecific,470
Spike 9,glb5202_7,OV,conspecific,385
Spike 10,glb5202_7,OV,conspecific,381
Spike 11,glb5202_7,OV,conspecific,448
Spike 12,glb5202_7,OV,conspecific,344
Spike 13,glb5202_7,OV,conspecific,377
Spike 14,glb5202_7,OV,conspecific,256
Spike 15,glb5202_7,OV,conspecific,411
Spike 16,glb5202_7,OV,conspecific,363
Spike 17,glb5202_7,OV,conspecific,326
Spike 18,glb5202_7,OV,conspecific,428
Spike 19,glb5202_7,OV,conspecific,365
Spike 20,glb5202_7,OV,conspecific,307
Spike 1,glb5202_7,OV,flatrip,244
Spike 2,glb5202_7,OV,flatrip,230
Spike 3,glb5202_7,OV,flatrip,236
Spike 4,glb5202_7,OV,flatrip,233
Spike 5,glb5202_7,OV,flatrip,256
Spike 6,glb5202_7,OV,flatrip,228
Spike 7,glb5202_7,OV,flatrip,202
Spike 8,glb5202_7,OV,flatrip,274
Spike 9,glb5202_7,OV,flatrip,203
Spike 10,glb5202_7,OV,flatrip,232
Spike 1,glb5202_5,OV,conspecific,377
Spike 2,glb5202_5,OV,conspecific,317
Spike 3,glb5202_5,OV,conspecific,322
Spike 4,glb5202_5,OV,conspecific,358
Spike 5,glb5202_5,OV,conspecific,284
Spike 6,glb5202_5,OV,conspecific,496
Spike 7,glb5202_5,OV,conspecific,446
Spike 8,glb5202_5,OV,conspecific,461
Spike 9,glb5202_5,OV,conspecific,461
Spike 10,glb5202_5,OV,conspecific,401
Spike 11,glb5202_5,OV,conspecific,498
Spike 12,glb5202_5,OV,conspecific,370
Spike 13,glb5202_5,OV,conspecific,420
Spike 14,glb5202_5,OV,conspecific,346
Spike 15,glb5202_5,OV,conspecific,424
Spike 16,glb5202_5,OV,conspecific,390
Spike 17,glb5202_5,OV,conspecific,333
Spike 18,glb5202_5,OV,conspecific,444
Spike 19,glb5202_5,OV,conspecific,421
Spike 20,glb5202_5,OV,conspecific,411
Spike 1,glb5202_5,OV,flatrip,404
Spike 2,glb5202_5,OV,flatrip,386
Spike 3,glb5202_5,OV,flatrip,377
Spike 4,glb5202_5,OV,flatrip,376
Spike 5,glb5202_5,OV,flatrip,404
Spike 6,glb5202_5,OV,flatrip,339
Spike 7,glb5202_5,OV,flatrip,370
Spike 8,glb5202_5,OV,flatrip,367
Spike 9,glb5202_5,OV,flatrip,339
Spike 10,glb5202_5,OV,flatrip,350
Spike 1,glb5202_6,OV,conspecific,1101
Spike 2,glb5202_6,OV,conspecific,971
Spike 3,glb5202_6,OV,conspecific,1013
Spike 4,glb5202_6,OV,conspecific,1089
Spike 5,glb5202_6,OV,conspecific,956
Spike 6,glb5202_6,OV,conspecific,1514
Spike 7,glb5202_6,OV,conspecific,1563
Spike 8,glb5202_6,OV,conspecific,1518
Spike 9,glb5202_6,OV,conspecific,1344
Spike 10,glb5202_6,OV,conspecific,1123
Spike 11,glb5202_6,OV,conspecific,1506
Spike 12,glb5202_6,OV,conspecific,1015
Spike 13,glb5202_6,OV,conspecific,1216
Spike 14,glb5202_6,OV,conspecific,978
